SUMMONS_KEY,SUMMONS_DATE,OFFENSE_DESCRIPTION,LAW_SECTION_NUMBER,LAW_DESCRIPTION,SUMMONS_CATEGORY_TYPE,AGE_GROUP,SEX,RACE,JURISDICTION_CODE,BORO,PRECINCT_OF_OCCUR,X_COORDINATE_CD,Y_COORDINATE_CD,Latitude,Longitude,New Georeferenced Column
269278145,6/3/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,0,MANHATTAN,25,1000344,230118,40.798284,-73.94187,POINT (-73.94187 40.798284)
269245072,6/3/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,MANHATTAN,6,983410,206407,40.73321611,-74.00303092,POINT (-74.00303092 40.73321611)
269332111,6/4/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,2,BROOKLYN,79,1000180,193720,40.698381,-73.94255,POINT (-73.94255 40.698381)
269764953,6/5/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,BLACK,0,BRONX,52,1011612,253618,40.86275507,-73.90107874,POINT (-73.90107874 40.86275507)
269516962,6/7/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,18-24,M,WHITE HISPANIC,2,BROOKLYN,90,1000896,194740,40.701178,-73.939965,POINT (-73.939965 40.701178)
269478623,6/7/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,<18,M,BLACK,2,BROOKLYN,75,1012448,182122,40.666515,-73.898355,POINT (-73.898355 40.666515)
269539083,6/8/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,MANHATTAN,25,1001446,234215,40.80952512,-73.93788139,POINT (-73.93788139 40.80952512)
269522635,6/8/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,WHITE,0,BROOKLYN,61,992391,154409,40.590491,-73.970687,POINT (-73.970687 40.590491)
269584508,6/8/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,45-64,F,WHITE,0,STATEN ISLAND,120,955774,163422,40.61518626,-74.10256686,POINT (-74.10256686 40.61518626)
269616447,6/10/23,JAYWALKING,45386,Traffic Regs,TRAFFIC REGS,25-44,M,BLACK,0,MANHATTAN,25,999967,230491,40.79930652,-73.94323283,POINT (-73.94323283 40.79930652)
